UT Date	Observer	Total Scans	Time Observing	Average Scans per Hour
2021-0710	ERMR	3	1.6	1.8
2021-0710	Blom	2	1.1	1.8
2021-0713	Blom	3	5.0	0.6
2021-0714	ERMR	2	0.6	3.4
2021-0714	Blom	2	2.2	0.9
2021-0716	Blom	2	0.0	900.0
2021-0716	ERMR	2	1.4	1.4
2021-0716	ERMR	2	0.1	33.3
2021-0717	Blom	4	1.9	2.1
2021-0717	ERMR	4	2.0	2.0
2021-0717	ERMR	2	0.0	720.0
2021-0720	Blom	6	5.2	1.2
2021-0721	ERMR	4	3.7	1.1
2021-0721	Blom	4	1.8	2.2
2021-0722	ERMR	6	3.3	1.8
2021-0723	Blom	4	2.3	1.8
2021-0723	ERMR	2	0.0	1200.0
2021-0724	Blom	2	0.0	94.7
2021-0724	ERMR	2	0.0	600.0
2021-0727	Blom	6	3.9	1.5
2021-0728	ERMR	1	0	0
2021-0728	Blom	4	2.6	1.5
2021-0730	XXXX	2	0.3	7.2
2021-0730	ERMR	4	2.3	1.7
2021-0731	ERMR	6	5.1	1.2
2021-0802	Blom	1	0	0
2021-0803	Blom	57	5.0	11.3
2021-0804	Blom	30	4.8	6.3
2021-0805	Jsun	126	4.9	25.6
2021-0809	Blom	66	4.1	15.9
2021-0810	Blom	8	5.1	1.6
2021-0811	Blom	4	1.9	2.2
2021-0816	Blom	6	4.5	1.3
2021-0818	Blom	6	5.1	1.2
2021-0820	ERMR	4	2.7	1.5
2021-0821	XXXX	2	0.0	1200.0
2021-0824	Blom	86	6.9	12.5
2021-0825	Blom	155	6.9	22.5
2021-0826	Jsun	115	6.8	17.0
2021-0827	Jsun	174	7.5	23.3
2021-0828	Blom	138	6.8	20.3
2021-0830	Blom	4	3.4	1.2
2021-0831	Blom	8	6.1	1.3
2021-0905	Jsun	212	8.1	26.1
2021-0906	Jsun	200	8.0	25.0
2021-0907	XXXX	64	5.2	12.4
2021-0908	Blom	128	7.0	18.3
2021-0909	Jsun	40	2.5	16.0
2021-0910	ERMR	17	5.6	3.0
2021-0911	ERMR	71	5.0	14.2
2021-0912	ERMR	147	7.4	19.9
2021-0913	Blom	152	7.2	21.0
2021-0915	Blom	56	2.5	22.8
2021-0916	Jsun	146	7.5	19.6
2021-0917	ERMR	184	7.5	24.6
2021-0918	ERMR	101	5.5	18.2
2021-0920	Blom	196	7.4	26.5
2021-0921	Blom	258	8.0	32.3
2021-0922	Blom	260	7.8	33.3
2021-0924	ERMR	6	4.9	1.2
2021-0925	ERMR	16	6.2	2.6
2021-0926	ERMR	4	2.6	1.6
2021-0927	Blom	4	3.0	1.3
2021-0928	Blom	2	0.0	63.2
2021-0929	Blom	6	5.3	1.1
2021-1001	ERMR	94	3.9	24.2
2021-1001	ERMR	31	0.9	35.6
2021-1002	ERMR	37	1.1	34.8
2021-1002	ERMR	216	6.3	34.2
2021-1003	ERMR	338	8.9	37.9
2021-1004	Blom	168	6.4	26.1
2021-1005	Blom	9	4.4	2.1
2021-1006	Blom	6	4.4	1.4
2021-1008	ERMR	6	4.5	1.3
2021-1009	ERMR	1	0	0
2021-1009	XXXX	4	0.9	4.5
2021-1010	ERMR	1	0	0
2021-1010	XXXX	2	0.5	3.8
2021-1010	ERMR	112	4.0	28.3
2021-1011	Jsun	308	9.2	33.3
2021-1012	Blom	6	4.3	1.4
2021-1013	XXXX	2	0.4	4.9
2021-1013	XXXX	9	0.0	197.6
2021-1015	ERMR	178	5.7	31.5
2021-1016	ERMR	102	6.3	16.2
2021-1016	ERMR	10	0.3	31.4
2021-1019	Blom	48	7.3	6.6
2021-1020	Blom	252	9.5	26.4
2021-1022	ERMR	30	2.8	10.7
2021-1023	ERMR	70	3.6	19.2
2021-1028	Jsun	110	5.9	18.8
2021-1029	ERMR	79	6.0	13.1
